Law,Permittee,Mine_Name,Permit_ID,MSHA_ID,State_Mine,National_I,CoalBed3,Map_Date,IU_Status,Area_Calc,Area_Rep,Area_RM,Pmt_App_Nu,Pmt_App_Da,Pmt_App__1,Edit_Date,Comment,Re_Permit,Source_Doc,Inspector,Shape_Leng,Shape_Area,CMO_Status,CoalBed1,CoalBed2,Surf_Metho,Post_SMCRA,Pmt_App_Ty
"3",JUNIPER MINING CO INC,,C-0249,,,OH-C-249,,,,31.67949660000,0.00000000000,0.00000000000,,1977-06-20,,,"-",,C-249.TIF,,4921.27875980000,1379959.08791000000,Inactive,,,,Yes,
"3",WILLS CREEK ENERGY CO,,C-0250,,,OH-C-250,,,,28.72744628000,30.00000000000,0.00000000000,,1977-04-15,,,"-",,C-250.TIF,,6661.73183818000,1256693.85381000000,Inactive,,,,Yes,
"3",WILLS CREEK ENERGY CO,,C-0251,,,OH-C-251,,,,0.34549568000,219.00000000000,0.00000000000,,1979-11-01,,,"-",,C-251.TIF,,25420.44558720000,9826761.64781000093,Inactive,,,,Yes,
"3",ERSKINE CONTRACTING CORP,,C-0252,,,OH-C-252,,,,0.18317622000,12.00000000000,0.00000000000,,1978-04-13,,,"-",,C-252.TIF,,4736.96948479000,502999.50133200001,Inactive,,,,Yes,
"3",CRAVAT COAL CO,,C-0253,,,OH-C-253,,,,14.12162493000,14.20000000000,0.00000000000,,1977-08-23,,,"-",,C-253.TIF,,3832.06745455000,618210.80073000002,Inactive,,,,Yes,
"3",CONSOLIDATION COAL CO,,C-0254,,,OH-C-254,,,,75.72374662000,78.10000000000,0.00000000000,,1976-10-19,,,"-",,C-254.TIF,,18125.87559630000,3603979.85471000010,Inactive,,,,Yes,
"3",R & F COAL CO,,C-0255,,,OH-C-255,,,,0.19063978000,91.00000000000,0.00000000000,,1979-08-17,,,C-1144,,C-255.TIF,,11750.92106140000,3933937.80157000013,Inactive,,,,Yes,
"3",R & F COAL CO,,C-0256,,,OH-C-256,,,,18.51949872000,158.50000000000,0.00000000000,,1979-06-07,,,"-",,C-256.TIF,,32850.11229520000,6812391.00528999977,Inactive,,,,Yes,
"3",WHARTON SUPPLY CO,,C-0257,,,OH-C-257,,,,25.27853331000,25.50000000000,0.00000000000,,1977-02-04,,,"-",,C-257.TIF,,4544.23916906000,1101132.91105000000,Inactive,,,,Yes,
"2",B & N COAL CO,,B-0731,,,OH-B-731,,,,36.95306723000,0.00000000000,0.00000000000,,1978-02-03,,,"-",,B-731.TIF,,12336.32107610000,1872476.24566000002,Abandoned,,,,No,
