Species,Understory or Overstory status,Native or nonative status,Evergreen or deciduous 
American elm,,,
American sycamore,,,
black cherry,,,
black locust,,,
silver maple,,,
slippery elm,,,
ailanthus,,,
boxelder,,,
eastern cottonwood,,,
eastern redbud,,,
green ash,,,
northern red oak,,,
white ash,,,
yellow-poplar,,,
bigtooth aspen,,,
European alder,,,
Norway spruce,,,
red maple,,,
eastern white pine,,,
flowering dogwood,,,
river birch,,,
black walnut,,,
sassafras,,,
common persimmon,,,
Osage-orange,,,
sugar maple,,,
bitternut hickory,,,
blackgum,,,
shagbark hickory,,,
shingle oak,,,
American beech,,,
hawthorn spp.,,,
honeylocust,,,
black willow,,,
chinkapin oak,,,
pawpaw,,,
black oak,,,
eastern hophornbeam,,,
Scotch pine,,,
sweet crab apple,,,
white oak,,,
pignut hickory,,,
